Facultad;Carrera;Día;H_Inicio;H_Salida;Profesor;Semestre;Total Estudiantes;Entrada;Salida;Proyecto
ICA;CIVIL;JUEVES;11;13;DOC_11;2021;46;7;15;1
CQ;BIO Y FAR;JUEVES;13;15;DOC_11;2021;59;7;15;1
ICA;CIVIL;MIERCOLES;7;9;DOC_11;2021;22;7;15;1
ARQ;ARQUITECTURA;VIERNES;7;9;DOC_11;2021;46;7;15;1
ICA;COMPUTACION;VIERNES;11;13;DOC_11;2021;50;7;15;1
AGR;AGRONOMIA;MIERCOLES;7;9;DOC_13;2021;67;7;15;1
CQ;QUIMICA;MIERCOLES;9;11;DOC_13;2021;44;7;15;1
CQ;BIO Y FAR;VIERNES;7;9;DOC_13;2021;53;7;15;1
CQ;BIO Y FAR;LUNES;9;11;DOC_13;2121;70;7;15;1
ICA;COMPUTACION;MARTES;11;13;DOC_13;2121;40;7;15;1
IQ;I QUIMICA;VIERNES;11;13;DOC_13;2121;40;7;15;1
CQ;BIO Y FAR;JUEVES;11;13;DOC_06;2121;18;7;15;0
ICA;C GRAFICA;JUEVES;9;11;DOC_06;2121;5;7;15;0
FILO;P INFORMATICA;LUNES;7;9;DOC_06;2121;55;7;15;0
FIGEMPA;MINAS;LUNES;9;11;DOC_06;2121;16;7;15;0
CQ;BIO Y FAR;VIERNES;7;9;DOC_06;2121;65;7;15;0
ICA;S INFORMACION;MARTES;9;11;DOC_13;2121;45;7;15;1
FIGEMPA;AMBIENTAL;VIERNES;9;11;DOC_13;2121;21;7;15;1
ICA;CIVIL;LUNES;11;13;DOC_10;2121;38;7;15;1
ICA;CIVIL;MARTES;15;17;DOC_10;2121;41;7;15;1
FILO;P MATEMATICA;MARTES;16;18;DOC_10;2121;12;7;15;1
ICA;CIVIL;MIERCOLES;15;17;DOC_10;2121;38;7;15;1
ICA;CIVIL;MIERCOLES;18;20;DOC_10;2121;46;7;15;1
CIENCIAS;MATEMATICA;VIERNES;16;18;DOC_10;2121;33;7;15;1
ICA;CIVIL;JUEVES;11;13;DOC_07;2121;45;12;20;0
CQ;QUIMICA;LUNES;18;20;DOC_07;2121;27;12;20;0
FILO;MECATRONICA;MARTES;15;17;DOC_07;2121;18;12;20;0
CQ;BIO Y FAR;MIERCOLES;14;16;DOC_07;2121;53;12;20;0
FILO;P MATEMATICA;MIERCOLES;16;18;DOC_07;2121;44;12;20;0
IQ;I QUIMICA;JUEVES;9;11;DOC_12;2121;42;7;15;1
ICA;CIVIL;LUNES;9;11;DOC_12;2121;51;7;15;1
FILO;P MATEMATICA;MARTES;7;9;DOC_12;2121;28;7;15;1
FILO;MECATRONICA;VIERNES;9;11;DOC_12;2121;45;7;15;1
FILO;P MATEMATICA;JUEVES;16;18;DOC_14;2121;49;12;20;0
ICA;S INFORMACION;MARTES;18;20;DOC_14;2121;40;12;20;0
FILO;P MATEMATICA;MIERCOLES;16;18;DOC_14;2121;40;12;20;0
CQ;QUIMICA;VIERNES;15;17;DOC_14;2121;30;12;20;0
CQ;BIO Y FAR;JUEVES;13;15;DOC_11;2121;52;7;15;1
FILO;P MATEMATICA;MARTES;10;12;DOC_11;2121;33;7;15;1
ARQ;ARQUITECTURA;VIERNES;7;9;DOC_11;2121;28;7;15;1
CQ;QUIMICA;JUEVES;13;15;DOC_13;2121;69;7;15;1
FILO;P MATEMATICA;MARTES;9;11;DOC_13;2121;47;7;15;1
ICA;COMPUTACION;VIERNES;13;15;DOC_13;2121;34;7;15;1
CQ;BIO Y FAR;JUEVES;13;15;DOC_02;2122;58;7;15;1
CQ;BIO Y FAR;LUNES;9;11;DOC_02;2122;59;7;15;1
ICA;COMPUTACION;MIERCOLES;14;16;DOC_02;2122;60;7;15;1
ARQ;ARQUITECTURA;VIERNES;7;9;DOC_02;2122;28;7;15;1
CQ;QUIMICA;VIERNES;9;11;DOC_02;2122;42;7;15;1
CQ;BIO Y FAR;JUEVES;11;13;DOC_04;2122;38;7;15;0
FILO;P MATEMATICA;LUNES;7;9;DOC_04;2122;42;7;15;0
ICA;CIVIL;LUNES;11;13;DOC_04;2122;42;7;15;0
AGR;AGRONOMIA;MARTES;10;12;DOC_04;2122;35;7;15;0
ICA;CIVIL;VIERNES;7;9;DOC_04;2122;39;7;15;0
CIENCIAS;MATEMATICA;VIERNES;11;13;DOC_04;2122;36;7;15;0
CQ;BIO Y FAR;VIERNES;13;15;DOC_04;2122;62;7;15;0
ICA;CIVIL;JUEVES;9;11;DOC_09;2122;39;7;15;1
CQ;BIO Y FAR;MARTES;11;13;DOC_09;2122;25;7;15;1
FILO;P MATEMATICA;MIERCOLES;7;9;DOC_09;2122;54;7;15;1
FIGEMPA;MINAS;MIERCOLES;11;13;DOC_09;2122;20;7;15;1
AGR;AGRONOMIA;VIERNES;10;12;DOC_09;2122;30;7;15;1
FILO;P MATEMATICA;MIERCOLES;7;9;DOC_13;2122;42;7;15;1
FIGEMPA;PETROLEOS;VIERNES;7;9;DOC_13;2122;26;7;15;1
FILO;P MATEMATICA;JUEVES;9;11;DOC_12;2122;40;7;15;1
ARQ;ARQUITECTURA;MARTES;9;11;DOC_12;2122;26;7;15;1
AGR;AGRONOMIA;JUEVES;10;12;DOC_06;2122;32;7;15;0
CQ;QUIMICA;JUEVES;8;10;DOC_06;2122;29;7;15;0
FILO;P INFORMATICA;LUNES;7;9;DOC_06;2122;36;7;15;0
FILO;P MATEMATICA;MARTES;7;9;DOC_06;2122;42;7;15;0
CQ;QUIMICA;MIERCOLES;11;13;DOC_06;2122;54;7;15;0
ICA;INDUSTRIAL;VIERNES;11;13;DOC_06;2122;55;7;15;0
FIGEMPA;MINAS;JUEVES;11;13;DOC_13;2122;6;7;15;1
ICA;CIVIL;LUNES;7;9;DOC_13;2122;40;7;15;1
ARQ;ARQUITECTURA;JUEVES;11;13;DOC_03;2122;28;12;20;0
FILO;P MATEMATICA;JUEVES;16;18;DOC_03;2122;33;12;20;0
ICA;INDUSTRIAL;LUNES;14;16;DOC_03;2122;55;12;20;0
FIGEMPA;GEOLOGIA;MARTES;14;16;DOC_03;2122;21;12;20;0
FILO;P MATEMATICA;MARTES;16;18;DOC_03;2122;47;12;20;0
ICA;CIVIL;MIERCOLES;14;16;DOC_03;2122;40;12;20;0
ICA;CIVIL;LUNES;16;18;DOC_10;2122;40;7;15;1
CIENCIAS;MATEMATICA;MARTES;16;18;DOC_10;2122;16;7;15;1
FIGEMPA;GEOLOGIA;MARTES;14;16;DOC_10;2122;22;7;15;1
ICA;CIVIL;VIERNES;18;20;DOC_10;2122;32;7;15;1
FILO;P INFORMATICA;JUEVES;7;9;DOC_08;2122;41;7;15;1
FILO;P INFORMATICA;LUNES;7;9;DOC_08;2122;39;7;15;1
ARQ;ARQUITECTURA;MARTES;7;9;DOC_08;2122;28;7;15;1
CQ;BIO Y FAR;MIERCOLES;12;14;DOC_08;2122;62;7;15;1
FILO;P INFORMATICA;MIERCOLES;15;18;DOC_08;2122;30;7;15;1
FILO;P INFORMATICA;VIERNES;7;9;DOC_08;2122;39;7;15;1
FILO;P MATEMATICA;JUEVES;16;18;DOC_07;2122;41;12;20;0
FILO;MECATRONICA;JUEVES;18;20;DOC_07;2122;31;12;20;0
CQ;QUIMICA;LUNES;18;20;DOC_07;2122;29;12;20;0
FIGEMPA;PETROLEOS;MARTES;16;18;DOC_07;2122;19;12;20;0
ICA;S INFORMACION;MIERCOLES;14;16;DOC_07;2122;69;12;20;0
FILO;P MATEMATICA;MIERCOLES;16;18;DOC_07;2122;52;12;20;0
CQ;BIO Y FAR;VIERNES;15;17;DOC_07;2122;56;12;20;0
FILO;P INFORMATICA;JUEVES;7;9;DOC_11;2122;40;7;15;1
IQ;I QUIMICA;VIERNES;11;13;DOC_11;2122;53;7;15;1
IQ;I QUIMICA;JUEVES;9;11;DOC_12;2122;37;7;15;1
ICA;INDUSTRIAL;VIERNES;7;9;DOC_12;2122;65;7;15;1
ICA;CIVIL;JUEVES;18;20;DOC_14;2122;40;12;20;0
ICA;S INFORMACION;MARTES;18;20;DOC_14;2122;59;12;20;0
FILO;P MATEMATICA;MIERCOLES;16;18;DOC_14;2122;38;12;20;0
CIENCIAS;MATEMATICA;VIERNES;14;16;DOC_14;2122;18;12;20;0
CQ;BIO Y FAR;JUEVES;13;15;DOC_01;2122;60;12;20;0
FILO;P MATEMATICA;JUEVES;16;18;DOC_01;2122;32;12;20;0
FILO;P MATEMATICA;LUNES;16;18;DOC_01;2122;26;12;20;0
FIGEMPA;GEOLOGIA;MARTES;16;18;DOC_01;2122;12;12;20;0
FILO;P MATEMATICA;MIERCOLES;16;18;DOC_01;2122;18;12;20;0
IQ;I QUIMICA;VIERNES;13;15;DOC_01;2122;37;12;20;0
CQ;BIO Y FAR;VIERNES;16;18;DOC_01;2122;59;12;20;0
CQ;BIO Y FAR;JUEVES;13;15;DOC_11;2122;34;7;15;1
FIGEMPA;AMBIENTAL;VIERNES;9;11;DOC_11;2122;21;7;15;1
FILO;MECATRONICA;JUEVES;7;9;DOC_13;2122;29;7;15;1
FILO;MECATRONICA;LUNES;7;9;DOC_13;2122;42;7;15;1
ARQ;ARQUITECTURA;JUEVES;7;9;DOC_02;2222;25;7;15;1
CQ;BIO Y FAR;MARTES;11;13;DOC_02;2222;51;7;15;1
FILO;P MATEMATICA;JUEVES;7;9;DOC_02;2222;43;7;15;1
ARQ;ARQUITECTURA;MIERCOLES;9;11;DOC_02;2222;18;7;15;1
IQ;I QUIMICA;MIERCOLES;11;13;DOC_02;2222;22;7;15;1
CQ;BIO Y FAR;VIERNES;13;15;DOC_02;2222;47;7;15;1
FIGEMPA;PETROLEOS;VIERNES;7;9;DOC_02;2222;24;7;15;1
FILO;P MATEMATICA;JUEVES;7;9;DOC_04;2222;45;7;15;0
AGR;AGRONOMIA;JUEVES;10;12;DOC_04;2222;36;7;15;0
IQ;I QUIMICA;MARTES;9;11;DOC_04;2222;40;7;15;0
CQ;BIO Y FAR;MIERCOLES;7;9;DOC_04;2222;50;7;15;0
ARQ;ARQUITECTURA;VIERNES;7;9;DOC_04;2222;25;7;15;0
FIGEMPA;AMBIENTAL;VIERNES;9;11;DOC_04;2222;28;7;15;0
FILO;P MATEMATICA;JUEVES;9;11;DOC_09;2222;32;7;15;1
IQ;I QUIMICA;JUEVES;10;12;DOC_09;2222;48;7;15;1
FILO;P MATEMATICA;LUNES;7;9;DOC_09;2222;44;7;15;1
FILO;P MATEMATICA;LUNES;9;11;DOC_09;2222;30;7;15;1
CQ;BIO Y FAR;LUNES;13;15;DOC_09;2222;42;7;15;1
AGR;AGRONOMIA;MARTES;10;12;DOC_09;2222;32;7;15;1
ICA;CIVIL;JUEVES;16;18;DOC_05;2222;33;7;15;1
FILO;MECATRONICA;VIERNES;15;17;DOC_05;2222;23;7;15;1
FIGEMPA;GEOLOGIA;MARTES;14;16;DOC_05;2222;33;7;15;1
FIGEMPA;GEOLOGIA;VIERNES;14;16;DOC_05;2222;20;7;15;1
ICA;CIVIL;VIERNES;11;13;DOC_13;2222;69;7;15;1
ICA;CIVIL;VIERNES;9;11;DOC_13;2222;69;7;15;1
CIENCIAS;MATEMATICA;JUEVES;11;13;DOC_12;2222;30;7;15;1
ICA;INDUSTRIAL;MARTES;9;11;DOC_12;2222;39;7;15;1
FILO;P MATEMATICA;JUEVES;7;9;DOC_06;2222;41;7;15;0
CQ;BIO Y FAR;JUEVES;9;11;DOC_06;2222;53;7;15;0
CQ;QUIMICA;LUNES;9;11;DOC_06;2222;38;7;15;0
FILO;MECATRONICA;LUNES;9;11;DOC_06;2222;31;7;15;0
ARQ;ARQUITECTURA;MARTES;7;9;DOC_06;2222;25;7;15;0
FIGEMPA;MINAS;MIERCOLES;11;13;DOC_06;2222;13;7;15;0
CQ;QUIMICA;JUEVES;13;15;DOC_03;2222;14;10;18;1
FIGEMPA;GEOLOGIA;MARTES;16;18;DOC_03;2222;10;10;18;1
FILO;P INFORMATICA;MIERCOLES;11;13;DOC_03;2222;32;10;18;1
FILO;P MATEMATICA;MIERCOLES;16;18;DOC_03;2222;31;10;18;1
CQ;QUIMICA;VIERNES;15;17;DOC_03;2222;51;10;18;1
ICA;CIVIL;MIERCOLES;9;11;DOC_13;2222;50;7;15;1
ICA;CIVIL;VIERNES;9;11;DOC_13;2222;69;7;15;1
CQ;BIO Y FAR;JUEVES;13;15;DOC_10;2222;32;7;15;1
ICA;CIVIL;LUNES;11;13;DOC_10;2222;24;7;15;1
ICA;CIVIL;LUNES;14;16;DOC_10;2222;70;7;15;1
CQ;BIO Y FAR;MIERCOLES;13;15;DOC_10;2222;45;7;15;1
FILO;P INFORMATICA;LUNES;15;17;DOC_08;2222;25;7;15;1
FILO;P INFORMATICA;MARTES;10;12;DOC_08;2222;42;7;15;1
FILO;P INFORMATICA;MARTES;15;17;DOC_08;2222;20;7;15;1
FILO;P INFORMATICA;MIERCOLES;10;12;DOC_08;2222;23;7;15;1
FILO;P INFORMATICA;JUEVES;9;11;DOC_08;2222;11;7;15;1
FILO;P INFORMATICA;VIERNES;10;12;DOC_08;2222;31;7;15;1
FILO;P MATEMATICA;JUEVES;16;18;DOC_07;2222;35;12;20;0
FILO;MECATRONICA;LUNES;17;19;DOC_07;2222;38;12;20;0
FILO;P MATEMATICA;MARTES;16;18;DOC_07;2222;26;12;20;0
CQ;BIO Y FAR;MARTES;18;20;DOC_07;2222;55;12;20;0
FILO;P MATEMATICA;MIERCOLES;16;18;DOC_07;2222;20;12;20;0
FILO;P MATEMATICA;VIERNES;16;18;DOC_07;2222;52;12;20;0
ICA;INDUSTRIAL;JUEVES;7;9;DOC_11;2222;52;7;15;1
ICA;COMPUTACION;VIERNES;11;13;DOC_11;2222;46;7;15;1
ICA;S INFORMACION;LUNES;18;20;DOC_14;2222;49;12;20;0
FIGEMPA;AMBIENTAL;MIERCOLES;14;16;DOC_14;2222;17;12;20;0
ICA;S INFORMACION;MIERCOLES;9;11;DOC_12;2222;35;7;15;1
ICA;CIVIL;VIERNES;10;12;DOC_12;2222;69;7;15;1
FILO;P MATEMATICA;LUNES;16;18;DOC_01;2222;36;12;20;0
FILO;P MATEMATICA;LUNES;16;18;DOC_01;2222;34;12;20;0
CQ;QUIMICA;LUNES;18;20;DOC_01;2222;10;12;20;0
FIGEMPA;PETROLEOS;MARTES;18;20;DOC_01;2222;20;12;20;0
FILO;P MATEMATICA;MIERCOLES;16;18;DOC_01;2222;27;12;20;0
CIENCIAS;MATEMATICA;VIERNES;17;19;DOC_01;2222;30;12;20;0
ICA;INDUSTRIAL;MIERCOLES;7;9;DOC_11;2222;45;7;15;1
CIENCIAS;MATEMATICA;VIERNES;10;12;DOC_11;2222;39;7;15;1
ICA;COMPUTACION;JUEVES;11;13;DOC_13;2222;46;7;15;1
FILO;MECATRONICA;MARTES;11;13;DOC_13;2222;41;7;15;1
CQ;QUIMICA;VIERNES;7;9;DOC_13;2222;18;7;15;1
CQ;BIO Y FAR;JUEVES;9;11;DOC_02;2223;24;7;15;1
FILO;P MATEMATICA;LUNES;7;9;DOC_02;2223;35;7;15;1
IQ;I QUIMICA;LUNES;9;11;DOC_02;2223;38;7;15;1
AGR;AGRONOMIA;MARTES;9;11;DOC_02;2223;30;7;15;1
CQ;QUIMICA;MARTES;11;13;DOC_02;2223;62;7;15;1
